"ID","AC_Hablar","AC_Leer","AC_Escribir","AC_Idioma_Infancia","AC_Idioma_casa","AC_Idioma_trabajo","AC_Idioma_amigos","AC_Idioma_pensamiento","AC_Amigos_cercanos","AC_Fiestas","AC_Visitas","AC_Amigos_hijos","AC_Rituales","AC_Vestimenta","AC_Se_considera","AC_Religion","AC_Hablar_inv","AC_Leer_inv","AC_Escribir_inv","AC_Idioma_Infancia_inv","AC_Idioma_casa_inv","AC_Idioma_trabajo_inv","AC_Idioma_amigos_inv","AC_Idioma_pensamiento_inv","AC_Rituales_inv","AC_Religion_rec","AC_sub_lenguaje","AC_sub_social","AC_sub_rituales","AC_sub_identidad","AC_total","AC_items_usados"
"AG70S1001",5,3,3,5,5,5,5,5,1,2,2,3,5,2,1,2,1,3,3,1,1,1,1,1,1,1,12,8,1,4,25,16
"AG56S1002",5,3,3,5,5,5,5,5,2,2,2,3,5,1,1,2,1,3,3,1,1,1,1,1,1,1,12,9,1,3,25,16
"AG24S1003",3,3,2,5,4,5,3,5,2,2,2,2,5,3,1,2,3,3,4,1,2,1,3,1,1,1,18,8,1,5,32,16
"AG24S1004",4,2,2,4,4,2,2,1,4,4,4,1,3,3,1,2,2,4,4,2,2,4,4,5,3,1,27,13,3,5,48,16
"AG30S1005",3,2,1,4,4,4,5,5,3,3,3,3,5,3,2,5,3,4,5,2,2,2,1,1,1,4,20,12,1,9,42,16
"AG49S1006",3,3,2,4,3,4,3,3,3,3,3,3,4,3,1,5,3,3,4,2,3,2,3,3,2,4,23,12,2,8,45,16
"AG18S2007",3,1,1,4,2,3,3,3,1,2,1,3,4,2,1,1,3,5,5,2,4,3,3,3,2,NA,28,7,2,3,40,15
"AG16S2008",3,2,1,3,3,3,3,3,2,2,3,3,4,3,4,4,3,4,5,3,3,3,3,3,2,3,27,10,2,10,49,16
"AG31S2010",3,2,1,3,4,3,3,1,1,3,3,3,5,3,1,2,3,4,5,3,2,3,3,5,1,1,28,10,1,5,44,16
"AG32S2O11",4,3,2,4,2,3,3,2,2,4,4,3,3,3,1,1,2,3,4,2,4,3,3,4,3,NA,25,13,3,4,45,15
"AG40S3012",3,1,1,4,3,3,3,3,3,3,4,3,5,3,5,6,3,5,5,2,3,3,3,3,1,5,27,13,1,13,54,16
"AG27S3013",3,5,5,5,3,2,3,2,4,3,3,3,5,3,5,1,3,1,1,1,3,4,3,4,1,NA,20,13,1,8,42,15
"AG45S2014",4,3,3,5,5,4,4,5,2,2,2,3,5,2,1,2,2,3,3,1,1,2,2,1,1,1,15,9,1,4,29,16
"AG38S1015",5,4,4,4,5,5,5,5,1,1,3,3,5,3,1,2,1,2,2,2,1,1,1,1,1,1,11,8,1,5,25,16
"AG32S3016",3,1,1,3,5,3,3,2,1,3,3,3,5,3,5,6,3,5,5,3,1,3,3,4,1,5,27,10,1,13,51,16
"AG59S3017",4,4,4,5,5,5,5,5,2,2,2,3,5,2,1,2,2,2,2,1,1,1,1,1,1,1,11,9,1,4,25,16
"AG41S2018",4,4,2,2,5,5,5,5,1,2,3,3,5,3,1,4,2,2,4,4,1,1,1,1,1,3,16,9,1,7,33,16
"AG41S2019",4,4,3,5,4,5,5,5,1,2,3,3,5,3,1,4,2,2,3,1,2,1,1,1,1,3,13,9,1,7,30,16
"AG48S3020",5,3,3,5,5,5,4,5,1,2,3,3,5,1,1,5,1,3,3,1,1,1,2,1,1,4,13,9,1,6,29,16
"AG39S1021",3,1,2,4,4,2,4,2,2,3,3,3,5,4,1,6,3,5,4,2,2,4,2,4,1,5,26,11,1,10,48,16
"AG43S1022",4,1,3,5,4,4,4,4,1,3,3,1,3,2,1,4,2,5,3,1,2,2,2,2,3,3,19,8,3,6,36,16
"AG23S1023",3,3,3,5,5,1,3,5,3,3,3,3,3,1,1,2,3,3,3,1,1,5,3,1,3,1,20,12,3,3,38,16
"AG18S1024",2,1,1,1,3,3,1,3,3,3,3,3,4,3,4,4,4,5,5,5,3,3,5,3,2,3,33,12,2,10,57,16
"AG42S1025",2,1,1,5,3,1,3,1,1,3,3,3,4,3,2,6,4,5,5,1,3,5,3,5,2,5,31,10,2,10,53,16
"AG73S1026",4,5,5,5,5,3,4,5,3,3,1,3,5,4,3,4,2,1,1,1,1,3,2,1,1,3,12,10,1,10,33,16
"AG29S2027",4,1,1,5,5,4,3,5,1,3,3,3,5,3,1,4,2,5,5,1,1,2,3,1,1,3,20,10,1,7,38,16
"AG28S2028",3,1,1,3,3,1,1,1,3,3,3,3,3,5,1,2,3,5,5,3,3,5,5,5,3,1,34,12,3,7,56,16
"AG28S2029",4,1,1,3,4,3,4,4,3,3,3,1,5,3,1,2,2,5,5,3,2,3,2,2,1,1,24,10,1,5,40,16
"AG43S2030",4,1,1,5,3,3,4,5,2,3,3,3,5,2,1,4,2,5,5,1,3,3,2,1,1,3,22,11,1,6,40,16
"AG21S3032",5,3,3,5,5,5,5,5,2,2,2,3,5,3,1,2,1,3,3,1,1,1,1,1,1,1,12,9,1,5,27,16
"AG36S3033",5,2,2,5,5,5,5,5,2,2,2,2,5,3,1,4,1,4,4,1,1,1,1,1,1,3,14,8,1,7,30,16
"AG22S2034",3,1,1,4,4,3,3,2,4,4,4,3,3,4,1,6,3,5,5,2,2,3,3,4,3,5,27,15,3,10,55,16
"AG30S3035",3,3,3,3,3,3,3,4,3,3,3,3,5,3,1,4,3,3,3,3,3,3,3,2,1,3,23,12,1,7,43,16
"AG35S2036",4,3,3,5,5,3,4,5,3,3,3,3,5,3,1,4,2,3,3,1,1,3,2,1,1,3,16,12,1,7,36,16
"AG35S1037",4,4,2,5,5,3,3,5,2,2,3,3,4,3,1,2,2,2,4,1,1,3,3,1,2,1,17,10,2,5,34,16
"AG36S3038",5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,8,4,1,3,16,16
"AG31S3039",4,4,2,4,5,5,5,5,3,3,4,3,5,3,1,4,2,2,4,2,1,1,1,1,1,3,14,13,1,7,35,16
"AG66S3040",5,5,5,5,5,5,5,5,2,2,3,3,5,2,1,4,1,1,1,1,1,1,1,1,1,3,8,10,1,6,25,16
"CZ19S1041",3,1,1,3,3,3,1,3,3,3,3,3,4,3,3,4,3,5,5,3,3,3,5,3,2,3,30,12,2,9,53,16
"CZ24S1042",3,3,3,5,3,3,3,1,4,3,3,3,5,3,1,4,3,3,3,1,3,3,3,5,1,3,24,13,1,7,45,16
"CZ64S1043",4,4,4,4,4,5,4,5,5,5,5,5,5,2,1,2,2,2,2,2,2,1,2,1,1,1,14,20,1,4,39,16
"CZ19S1044",2,3,2,4,3,1,1,3,2,3,2,3,3,3,4,4,4,3,4,2,3,5,5,3,3,3,29,10,3,10,52,16
"CZ33S1045",4,3,4,3,4,2,4,5,3,1,3,3,5,2,1,4,2,3,2,3,2,4,2,1,1,3,19,10,1,6,36,16
"CZ35S1046",3,3,3,3,4,4,2,4,2,3,4,3,5,2,1,4,3,3,3,3,2,2,4,2,1,3,22,12,1,6,41,16
"CZ36S2047",3,2,2,3,3,3,3,3,3,3,3,3,5,3,1,4,3,4,4,3,3,3,3,3,1,3,26,12,1,7,46,16
"CZ28S2049",3,3,3,3,3,3,3,5,3,3,3,3,3,3,1,4,3,3,3,3,3,3,3,1,3,3,22,12,3,7,44,16
"CZ30S2050",3,2,1,3,3,3,3,3,3,3,3,3,5,3,1,4,3,4,5,3,3,3,3,3,1,3,27,12,1,7,47,16
"CZ18S2051",3,1,1,3,3,3,3,3,2,3,3,3,5,3,3,4,3,5,5,3,3,3,3,3,1,3,28,11,1,9,49,16
"CZ41S2052",3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,2,3,3,3,3,3,3,3,3,1,1,24,12,1,7,44,16
"CZ34S1053",3,3,3,3,3,3,3,3,3,3,3,3,5,3,1,4,3,3,3,3,3,3,3,3,1,3,24,12,1,7,44,16
"CZ26S1054",4,1,1,5,4,3,3,1,3,3,4,3,4,3,2,4,2,5,5,1,2,3,3,5,2,3,26,13,2,8,49,16
"CZ23S1055",4,2,2,5,4,4,4,5,3,3,3,3,5,4,1,6,2,4,4,1,2,2,2,1,1,5,18,12,1,10,41,16
"CZ26S1056",5,4,4,4,5,4,5,5,3,2,3,3,5,3,1,4,1,2,2,2,1,2,1,1,1,3,12,11,1,7,31,16
"CZ42S2057",5,5,5,5,5,5,5,5,2,2,2,3,5,2,1,2,1,1,1,1,1,1,1,1,1,1,8,9,1,4,22,16
"CZ21S2058",3,3,3,5,3,3,3,5,3,3,3,3,3,4,2,6,3,3,3,1,3,3,3,1,3,5,20,12,3,11,46,16
"CZ18S2059",3,2,2,4,5,4,3,1,2,2,3,3,5,4,1,6,3,4,4,2,1,2,3,5,1,5,24,10,1,10,45,16
"CZ21S2060",4,1,1,3,5,4,4,1,3,3,3,3,5,4,1,6,2,5,5,3,1,2,2,5,1,5,25,12,1,10,48,16
"CZ21S1062",3,1,1,5,5,5,5,3,2,3,3,2,3,3,1,6,3,5,5,1,1,1,1,3,3,5,20,10,3,9,42,16
"CZ19S1063",4,2,1,4,5,1,3,1,3,1,1,3,5,3,2,2,2,4,5,2,1,5,3,5,1,1,27,8,1,6,42,16
"CZ45S1064",4,5,5,5,5,3,3,5,1,1,3,2,5,3,1,4,2,1,1,1,1,3,3,1,1,3,13,7,1,7,28,16
"CZ28S1065",4,3,3,4,5,5,3,5,2,3,3,3,5,4,3,6,2,3,3,2,1,1,3,1,1,5,16,11,1,12,40,16
"CZ29S2066",4,3,2,4,5,5,5,5,2,2,1,3,5,2,1,2,2,3,4,2,1,1,1,1,1,1,15,8,1,4,28,16
"CZ24S2067",3,3,2,5,5,5,3,5,3,3,2,3,3,4,2,3,3,3,4,1,1,1,3,1,3,2,17,11,3,8,39,16
"CZ57S2068",4,3,3,5,5,5,5,3,1,1,2,3,4,1,1,3,2,3,3,1,1,1,1,3,2,2,15,7,2,4,28,16
"CZ23S2069",2,2,2,2,3,1,1,1,2,1,2,3,4,3,1,5,4,4,4,4,3,5,5,5,2,4,34,8,2,8,52,16
"CZ23S2070",4,1,1,4,5,5,5,5,1,1,1,3,5,3,1,6,2,5,5,2,1,1,1,1,1,5,18,6,1,9,34,16
"CZ31S2071",4,2,2,5,5,4,4,5,2,2,3,3,5,3,1,2,2,4,4,1,1,2,2,1,1,1,17,10,1,5,33,16
"CZ33S2072",4,3,3,5,5,5,4,5,2,2,2,3,5,2,1,2,2,3,3,1,1,1,2,1,1,1,14,9,1,4,28,16
"CZ44S2073",5,3,3,5,5,5,5,5,1,1,1,3,5,1,1,2,1,3,3,1,1,1,1,1,1,1,12,6,1,3,22,16
"CZ21S2074",2,1,1,3,4,3,3,1,3,3,3,3,4,4,2,6,4,5,5,3,2,3,3,5,2,5,30,12,2,11,55,16
"CZ36S2075",4,4,4,4,4,4,4,4,3,3,3,3,5,2,1,2,2,2,2,2,2,2,2,2,1,1,16,12,1,4,33,16
"CZ47S2076",5,5,5,5,5,5,5,5,2,2,2,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,8,7,1,4,20,16
"CZ37S2077",4,4,4,5,4,4,4,5,2,2,2,3,5,2,1,2,2,2,2,1,2,2,2,1,1,1,14,9,1,4,28,16
"CZ59S3078",5,5,5,5,5,5,5,5,1,1,1,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,8,4,1,4,17,16
"CZ27S3079",3,1,1,5,4,3,3,1,4,4,4,3,3,5,3,5,3,5,5,1,2,3,3,5,3,4,27,15,3,12,57,16
"CZ29S3080",3,1,1,4,4,4,3,3,4,4,4,3,4,3,1,4,3,5,5,2,2,2,3,3,2,3,25,15,2,7,49,16
"ZC31S1081",4,4,4,5,5,4,4,5,1,3,3,3,5,1,1,2,2,2,2,1,1,2,2,1,1,1,13,10,1,3,27,16
"CZ35S1083",4,2,3,5,5,1,3,3,3,3,3,3,5,3,1,4,2,4,3,1,1,5,3,3,1,3,22,12,1,7,42,16
"CZ49S1084",4,2,4,5,5,5,5,5,1,2,2,3,5,3,1,4,2,4,2,1,1,1,1,1,1,3,13,8,1,7,29,16
"CZ18S1085",3,2,3,3,3,3,3,3,2,3,2,3,5,5,1,4,3,4,3,3,3,3,3,3,1,3,25,10,1,9,45,16
"CZ56S1086",4,1,1,5,5,3,5,5,2,2,2,3,5,3,1,4,2,5,5,1,1,3,1,1,1,3,19,9,1,7,36,16
"CZ22S1087",3,1,1,5,4,5,3,5,3,2,3,3,5,3,1,4,3,5,5,1,2,1,3,1,1,3,21,11,1,7,40,16
"CZ38S2088",4,2,2,5,4,4,4,5,2,2,2,3,5,4,1,4,2,4,4,1,2,2,2,1,1,3,18,9,1,8,36,16
"CZ20S2089",4,4,2,3,3,3,2,2,3,3,3,3,5,4,1,4,2,2,4,3,3,3,4,4,1,3,25,12,1,8,46,16
"CZ29S2090",4,4,5,5,5,4,4,5,3,3,3,4,5,3,1,5,2,2,1,1,1,2,2,1,1,4,12,13,1,8,34,16
"CZ33S2091",3,1,1,5,3,4,3,3,3,3,3,3,5,3,1,6,3,5,5,1,3,2,3,3,1,5,25,12,1,9,47,16
"CZ25S2092",4,1,1,5,5,5,3,5,1,1,1,3,5,3,1,4,2,5,5,1,1,1,3,1,1,3,19,6,1,7,33,16
"CZ22S2093",4,3,4,5,4,5,3,5,2,3,3,4,5,3,1,5,2,3,2,1,2,1,3,1,1,4,15,12,1,8,36,16
